,Survived,Sex,Age,Ticket_category,Ticket_number,Is_with_familly,Fare_per_person,Pclass_1,Pclass_2,Pclass_3,SibSp_0,SibSp_1,SibSp_2,Parch_0,Parch_1,Parch_2,Embarked_C,Embarked_Q,Embarked_S
0,0,0,0.2711736617240512,1,0.05371441619729031,0,0.032690171125155106,0,0,1,0,1,0,1,0,0,0,0,1
1,1,1,0.4722292033174164,1,0.044651646623027355,0,0.32141562418838193,1,0,0,0,1,0,1,0,0,1,0,0
2,1,1,0.32143754712239253,1,0.7535117473227452,0,0.03573373878163506,0,0,1,1,0,0,1,0,0,0,0,1
3,1,1,0.4345312892686604,0,0.2887375044400467,1,0.11971366115487836,1,0,0,0,1,0,1,0,0,0,0,1
4,0,0,0.4345312892686604,0,0.9475059623484042,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
5,0,0,0.3278158951094034,0,0.8394910437915463,0,0.038138382679710266,0,0,1,1,0,0,1,0,0,0,1,0
6,0,0,0.6732847449107816,0,0.04430659156644847,0,0.2338474482728768,1,0,0,1,0,0,1,0,0,0,0,1
7,0,0,0.01985423473234481,0,0.8877784543563202,1,0.02375673642974634,0,0,1,0,0,1,0,1,0,0,0,1
8,1,1,0.33400351847197784,0,0.8822804079768611,1,0.016733309525870776,0,0,1,1,0,0,0,0,1,0,0,1
9,1,1,0.17064589092736868,0,0.6031765362561526,1,0.06779445502553891,0,1,0,0,1,0,1,0,0,1,0,0
10,1,1,0.04498617743151546,1,0.024227431876998023,1,0.03765005915793726,0,0,1,0,1,0,0,1,0,0,0,1
11,1,1,0.723548630309123,0,0.28868676104937335,0,0.11971366115487836,1,0,0,1,0,0,1,0,0,0,0,1
12,0,0,0.24604171902488062,1,0.005457451666920384,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
13,0,0,0.4847951746670017,0,0.88060587608464,1,0.020145519250034008,0,0,1,0,1,0,0,0,1,0,0,1
14,0,1,0.17064589092736868,0,0.8890394276145532,0,0.03541450235188872,0,0,1,1,0,0,1,0,0,0,0,1
15,1,1,0.685850716260367,0,0.6310092860404932,0,0.07214382593137679,0,1,0,1,0,0,1,0,0,0,0,1
16,0,0,0.01985423473234481,0,0.9708529963972193,1,0.026264861628141862,0,0,1,0,0,1,0,1,0,0,1,0
17,1,0,0.38100913634967415,0,0.6200157304511088,0,0.05861685856924364,0,1,0,1,0,0,1,0,0,0,0,1
18,0,1,0.38426740387031916,0,0.8772593494697316,0,0.08116180417279889,0,0,1,0,1,0,1,0,0,0,0,1
19,1,1,0.26803216888665493,0,0.006720962094687167,0,0.03257744639713733,0,0,1,1,0,0,1,0,0,1,0,0
20,0,0,0.4345312892686604,0,0.6085781701933324,0,0.05861685856924364,0,1,0,1,0,0,1,0,0,0,0,1
21,1,0,0.4219653179190751,0,0.6309889886842239,0,0.05861685856924364,0,1,0,1,0,0,1,0,0,0,0,1
22,1,1,0.18321186227695402,0,0.839607753590095,0,0.036203575448013156,0,0,1,1,0,0,1,0,0,0,1,0
23,1,0,0.34656948982156316,0,0.2886994468970417,0,0.16006911378524225,1,0,0,1,0,0,1,0,0,0,0,1
24,0,1,0.09525006282985675,0,0.8877784543563202,1,0.02375673642974634,0,0,1,0,0,1,0,1,0,0,0,1
25,1,1,0.4722292033174164,0,0.8805931902369717,1,0.03538147400657952,0,0,1,0,1,0,0,0,1,0,0,1
26,0,0,0.3278158951094034,0,0.006675293043081139,0,0.03257744639713733,0,0,1,1,0,0,1,0,0,1,0,0
27,0,0,0.2334757476752953,0,0.050616532196681385,1,0.2964660346867515,1,0,0,0,0,1,0,0,1,0,0,1
28,1,1,0.26803216888665493,0,0.839699091693307,0,0.0355272270799065,0,0,1,1,0,0,1,0,0,0,1,0
29,0,0,0.3278158951094034,0,0.8860201958694881,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,0,0,1
30,0,0,0.49736114601658704,1,0.04465672096209469,0,0.12499278561740686,1,0,0,1,0,0,1,0,0,1,0,0
31,1,1,0.42965273568588025,1,0.04457553153701731,0,0.3303303465789398,1,0,0,0,1,0,1,0,0,1,0,0
32,1,1,0.26803216888665493,0,0.8516694575531538,0,0.034944665685510634,0,0,1,1,0,0,1,0,0,0,1,0
33,0,0,0.8240764011058055,1,0.06236108996803167,0,0.04734438576746602,0,1,0,1,0,0,1,0,0,0,0,1
34,0,0,0.34656948982156316,1,0.0446643324706957,1,0.18525362162006176,1,0,0,0,1,0,1,0,0,1,0,0
35,0,0,0.5224930887157577,0,0.2887019840665753,1,0.11723371713848728,1,0,0,0,1,0,1,0,0,0,0,1
36,1,0,0.3278158951094034,0,0.006792002841629878,0,0.032596384151444315,0,0,1,1,0,0,1,0,0,1,0,0
37,0,0,0.2586076903744659,1,0.0054599888364540525,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
38,0,1,0.22090977632571,0,0.8772618866392653,1,0.040580902086399445,0,0,1,0,0,1,1,0,0,0,0,1
39,1,1,0.17064589092736868,0,0.006726036433754504,1,0.025344351499148703,0,0,1,0,1,0,1,0,0,1,0,0
40,0,1,0.49736114601658704,0,0.01914548130106054,0,0.042722671918737194,0,0,1,0,1,0,1,0,0,0,0,1
41,0,1,0.33400351847197784,0,0.029603694118841024,1,0.04734438576746602,0,1,0,0,1,0,1,0,0,0,0,1
42,0,0,0.3278158951094034,0,0.8861140711422338,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,1,0,0
43,1,1,0.032420206081930136,1,0.005386410919977673,1,0.06249338681595629,0,1,0,0,1,0,0,0,1,1,0,0
44,1,1,0.2334757476752953,0,0.8396965545237733,0,0.0355272270799065,0,0,1,1,0,0,1,0,0,0,1,0
45,0,0,0.3278158951094034,1,0.05979347439995941,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
46,0,0,0.3278158951094034,0,0.9396940173542396,0,0.06988933137102127,0,0,1,0,1,0,1,0,0,0,1,0
47,1,1,0.26803216888665493,0,0.03630943319632618,0,0.034944665685510634,0,0,1,1,0,0,1,0,0,0,1,0
48,0,0,0.3278158951094034,0,0.006753945298624855,0,0.09775127694571899,0,0,1,0,0,1,1,0,0,1,0,0
49,0,1,0.22090977632571,0,0.8860734764296951,1,0.04013000317432834,0,0,1,0,1,0,1,0,0,0,0,1
50,0,0,0.08268409148027142,0,0.7535117473227452,1,0.029825084288036628,0,0,1,0,0,1,0,1,0,0,0,1
51,0,0,0.2586076903744659,1,0.10119754401989142,0,0.035170115141546186,0,0,1,1,0,0,1,0,0,0,0,1
52,1,1,0.610454888162855,1,0.04458314304561831,1,0.1153237093469541,1,0,0,0,1,0,1,0,0,1,0,0
53,1,1,0.35913546117114853,0,0.00742375805551327,0,0.11723371713848728,0,1,0,0,1,0,1,0,0,0,0,1
54,0,0,0.8115104297562202,0,0.28799157659714825,0,0.27946353851037425,1,0,0,1,0,0,0,1,0,1,0,0
55,1,0,0.5134630075221647,0,0.05060892068808038,0,0.16006911378524225,1,0,0,1,0,0,1,0,0,0,0,1
56,1,1,0.2586076903744659,1,0.07871822195159081,0,0.04734438576746602,0,1,0,1,0,0,1,0,0,0,0,1
57,0,0,0.35285247549635584,0,0.006842746232303243,0,0.032596384151444315,0,0,1,1,0,0,1,0,0,1,0,0
58,1,1,0.05755214878110078,1,0.08791546151113819,1,0.041708149366577206,0,1,0,0,1,0,0,0,1,0,0,1
59,0,0,0.1329479768786127,1,0.005439691480184706,1,0.035245264960224704,0,0,1,0,0,1,0,0,1,0,0,1
60,0,0,0.2711736617240512,0,0.006771705485360532,0,0.032596384151444315,0,0,1,1,0,0,1,0,0,1,0,0
61,1,1,0.4722292033174164,0,0.28815141827776936,0,0.18035956482844198,1,0,0,1,0,0,1,0,0,0,0,1
62,0,0,0.5601910027645137,0,0.09380676916831583,1,0.18819393342567742,1,0,0,0,1,0,1,0,0,0,0,1
63,0,0,0.04498617743151546,0,0.880621099101842,1,0.020966799411306376,0,0,1,0,0,1,0,0,1,0,0,1
64,0,0,0.5134630075221647,1,0.04466686964022936,0,0.12499278561740686,1,0,0,1,0,0,1,0,0,1,0,0
65,1,0,0.3278158951094034,0,0.006751408129091186,1,0.034371573168268256,0,0,1,0,1,0,0,1,0,1,0,0
66,1,1,0.35913546117114853,1,0.07458009844217792,0,0.04734438576746602,0,1,0,1,0,0,1,0,0,0,0,1
67,0,0,0.2334757476752953,1,0.008788755264626783,0,0.03678568594349696,0,0,1,1,0,0,1,0,0,0,0,1
68,1,1,0.20834380497612465,0,0.7535117473227452,0,0.03573373878163506,0,0,1,0,0,1,0,0,1,0,0,1
69,0,0,0.32143754712239253,0,0.7995915157050795,0,0.03905911825815946,0,0,1,0,0,1,1,0,0,0,0,1
70,0,0,0.39683337521990447,1,0.08400822042928908,0,0.04734438576746602,0,1,0,1,0,0,1,0,0,0,0,1
71,0,1,0.19577783362653933,1,0.005439691480184706,1,0.035245264960224704,0,0,1,0,0,1,0,0,1,0,0,1
72,0,0,0.2586076903744659,1,0.03775054549144974,0,0.06628214007445242,0,1,0,1,0,0,1,0,0,0,0,1
73,0,0,0.32143754712239253,0,0.006799614350230883,0,0.06517383054858165,0,0,1,0,1,0,1,0,0,1,0,0
74,1,0,0.39683337521990447,0,0.0040620084234028525,0,0.03639127822369533,0,0,1,1,0,0,1,0,0,0,0,1
75,0,0,0.3088715757728072,0,0.8832470695691886,0,0.03449376677343953,0,0,1,1,0,0,1,0,0,0,0,1
76,0,0,0.3278158951094034,0,0.8859998985132187,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,0,0,1
77,0,0,0.3278158951094034,0,0.9507941340640382,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
78,1,0,0.005152048253329982,0,0.6310904754655706,1,0.06538034225031021,0,1,0,1,0,0,0,0,1,0,0,1
79,1,1,0.37170143252073384,0,0.9248388897346121,0,0.02812481964043517,0,0,1,1,0,0,1,0,0,0,0,1
80,0,0,0.2711736617240512,0,0.8772694981478663,0,0.040580902086399445,0,0,1,1,0,0,1,0,0,0,0,1
81,1,0,0.35913546117114853,0,0.8772999441822703,0,0.04283539664675497,0,0,1,1,0,0,1,0,0,0,0,1
82,1,1,0.26803216888665493,0,0.839630588115898,0,0.035113752777537297,0,0,1,1,0,0,1,0,0,0,1,0
83,0,0,0.34656948982156316,0,0.28684985030699756,0,0.21237338758549043,1,0,0,1,0,0,1,0,0,0,0,1
84,1,1,0.20834380497612465,1,0.03776576850865175,0,0.04734438576746602,0,1,0,1,0,0,1,0,0,0,0,1
85,1,1,0.4093993465694898,0,0.7535117473227452,1,0.03573373878163506,0,0,1,0,0,1,1,0,0,0,0,1
86,0,0,0.19577783362653933,1,0.01676561627847973,1,0.03874912525611058,0,0,1,0,1,0,0,0,1,0,0,1
87,0,0,0.3278158951094034,1,0.9947886537778455,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
88,1,1,0.2837396330736366,0,0.050616532196681385,1,0.2964660346867515,1,0,0,0,0,1,0,0,1,0,0,1
89,0,0,0.2963056044232219,0,0.8709468716699651,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
90,0,0,0.35913546117114853,0,0.8709494088394987,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
91,0,0,0.24604171902488062,0,0.8815801491855686,0,0.03541450235188872,0,0,1,1,0,0,1,0,0,0,0,1
92,0,0,0.5727569741140991,1,0.014548130106053688,0,0.2758374094594984,1,0,0,0,1,0,1,0,0,0,0,1
93,0,0,0.32143754712239253,1,0.005873547470441975,1,0.04638622557931492,0,0,1,0,1,0,0,0,1,0,0,1
94,0,0,0.7361146016587082,0,0.9247982950220734,0,0.032690171125155106,0,0,1,1,0,0,1,0,0,0,0,1
95,0,0,0.3278158951094034,0,0.9512102298675599,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
96,0,0,0.8869062578537321,1,0.04504490790074593,0,0.15625541078694485,1,0,0,1,0,0,1,0,0,1,0,0
97,1,0,0.2837396330736366,1,0.045057593748414275,0,0.2856818854067469,1,0,0,1,0,0,0,1,0,1,0,0
98,1,1,0.4219653179190751,0,0.5884178210788046,1,0.05185337488817707,0,1,0,1,0,0,0,1,0,0,0,1
99,0,0,0.4219653179190751,0,0.6200005074339068,1,0.05861685856924364,0,1,0,0,1,0,1,0,0,0,0,1
100,0,1,0.34656948982156316,0,0.8860937737859644,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,0,0,1
101,0,0,0.3278158951094034,0,0.8860176586999544,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,0,0,1
102,0,0,0.2586076903744659,0,0.08951387831734917,1,0.1742442483334776,1,0,0,1,0,0,0,1,0,0,0,1
103,0,0,0.4093993465694898,0,0.019130258283858528,0,0.03902169364845756,0,0,1,1,0,0,1,0,0,0,0,1
104,0,0,0.4596632319678311,0,0.7535117473227452,1,0.03573373878163506,0,0,1,0,0,1,1,0,0,0,0,1
105,0,0,0.34656948982156316,0,0.885997361343685,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,0,0,1
106,1,1,0.2586076903744659,0,0.8705536103922464,0,0.03449376677343953,0,0,1,1,0,0,1,0,0,0,0,1
107,1,0,0.3278158951094034,0,0.7941112295123561,0,0.035057390413528414,0,0,1,1,0,0,1,0,0,0,0,1
108,0,0,0.4722292033174164,0,0.8861039224640991,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,0,0,1
109,1,1,0.26803216888665493,0,0.9415689856396205,1,0.03629736242172394,0,0,1,0,1,0,1,0,0,0,1,0
110,0,0,0.5853229454636844,0,0.2802684325366621,0,0.11723371713848728,1,0,0,1,0,0,1,0,0,0,0,1
111,0,1,0.17692887660216136,0,0.006761556807225859,1,0.03258691527429083,0,0,1,0,1,0,1,0,0,1,0,0
112,0,0,0.2711736617240512,0,0.8237402953265338,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
113,0,1,0.24604171902488062,0,0.01049373319125184,0,0.04430081811098606,0,0,1,0,1,0,1,0,0,0,0,1
114,0,1,0.20834380497612465,0,0.006665144364946466,0,0.03259615870198828,0,0,1,1,0,0,1,0,0,1,0,0
115,0,0,0.2586076903744659,1,0.7535117473227452,0,0.03573373878163506,0,0,1,1,0,0,1,0,0,0,0,1
116,0,0,0.8806232721789394,0,0.9396889430151724,0,0.034944665685510634,0,0,1,1,0,0,1,0,0,0,1,0
117,0,0,0.35913546117114853,0,0.029603694118841024,1,0.04734438576746602,0,1,0,0,1,0,1,0,0,0,0,1
118,0,0,0.2963056044232219,1,0.04454762267214696,1,0.5580342971748478,1,0,0,1,0,0,0,1,0,1,0,0
119,0,1,0.01985423473234481,0,0.88060587608464,1,0.020145519250034008,0,0,1,0,0,1,0,0,1,0,0,1
120,0,0,0.2586076903744659,1,0.03775054549144974,1,0.06628214007445242,0,1,0,0,0,1,1,0,0,0,0,1
121,0,0,0.3278158951094034,1,0.13830111128025577,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
122,0,0,0.40311636089469716,0,0.6031765362561526,1,0.06779445502553891,0,1,0,0,1,0,1,0,0,1,0,0
123,1,1,0.40311636089469716,0,0.0691810016745319,0,0.05861685856924364,0,1,0,1,0,0,1,0,0,0,0,1
124,0,0,0.6732847449107816,0,0.08951387831734917,1,0.1742442483334776,1,0,0,1,0,0,0,1,0,0,0,1
125,1,0,0.14551394822819805,0,0.006726036433754504,1,0.025344351499148703,0,0,1,0,1,0,1,0,0,1,0,0
126,0,0,0.3278158951094034,0,0.9396965545237733,0,0.034944665685510634,0,0,1,1,0,0,1,0,0,0,1,0
127,1,0,0.2963056044232219,1,0.04406809763028366,0,0.0322018476033821,0,0,1,1,0,0,1,0,0,0,0,1
128,1,1,0.26803216888665493,0,0.006769168315826864,1,0.05040666572879693,0,0,1,0,1,0,0,1,0,1,0,0
129,0,0,0.5601910027645137,0,0.880552595524433,0,0.031450199116959565,0,0,1,1,0,0,1,0,0,0,0,1
130,0,0,0.4093993465694898,0,0.8860836251078298,0,0.0356020762993103,0,0,1,1,0,0,1,0,0,1,0,0
131,0,0,0.24604171902488062,1,0.7535117473227452,0,0.0317883733010129,0,0,1,1,0,0,1,0,0,0,0,1
132,0,1,0.5853229454636844,1,0.008466534733850917,0,0.06538034225031021,0,0,1,0,1,0,1,0,0,0,0,1
133,1,1,0.35913546117114853,0,0.5795250418632973,0,0.11723371713848728,0,1,0,0,1,0,1,0,0,0,0,1
134,0,0,0.3088715757728072,1,0.07402953265337191,0,0.05861685856924364,0,1,0,1,0,0,1,0,0,0,0,1
135,0,0,0.2837396330736366,1,0.005411782615314355,0,0.0678413485123943,0,1,0,1,0,0,1,0,0,1,0,0
136,1,1,0.2334757476752953,0,0.029816816359669155,0,0.11851111375638472,1,0,0,1,0,0,0,0,1,0,0,1
137,0,0,0.4596632319678311,0,0.2887375044400467,1,0.11971366115487836,1,0,0,0,1,0,1,0,0,0,0,1
138,0,0,0.19577783362653933,0,0.01911503526665652,0,0.020779000014428763,0,0,1,1,0,0,1,0,0,0,0,1
139,0,0,0.2963056044232219,1,0.04463642360582534,0,0.17855596918015756,1,0,0,1,0,0,1,0,0,1,0,0
140,0,1,0.26803216888665493,0,0.006794540011163547,1,0.034371573168268256,0,0,1,1,0,0,0,0,1,1,0,0
141,1,1,0.2711736617240512,0,0.8806033389151063,0,0.034944665685510634,0,0,1,1,0,0,1,0,0,0,0,1
142,1,1,0.2963056044232219,1,0.7535117473227452,1,0.03573373878163506,0,0,1,0,1,0,1,0,0,0,0,1
143,0,0,0.2334757476752953,0,0.9266301314253819,0,0.030435676564799584,0,0,1,1,0,0,1,0,0,0,1,0
144,0,0,0.22090977632571,0,0.58848378748668,0,0.05185337488817707,0,1,0,1,0,0,1,0,0,0,0,1
145,0,0,0.2334757476752953,1,0.08401075759882276,0,0.08285267509306553,0,1,0,0,1,0,0,1,0,0,0,1
146,1,0,0.33400351847197784,0,0.8881184350738317,0,0.0351511773872392,0,0,1,1,0,0,1,0,0,0,0,1
147,0,1,0.10781603417944208,1,0.01676561627847973,1,0.03874912525611058,0,0,1,0,0,1,0,0,1,0,0,1
148,0,0,0.4533802462930384,0,0.5837519663063886,1,0.03907790571282909,0,1,0,1,0,0,0,0,1,0,0,1
149,0,0,0.5224930887157577,0,0.6198558887704877,0,0.05861685856924364,0,1,0,1,0,0,1,0,0,0,0,1
150,0,0,0.6355868308620256,1,0.002958339676257168,0,0.0564750887369059,0,1,0,1,0,0,1,0,0,0,0,1
151,1,1,0.2711736617240512,0,0.28866900086263764,1,0.15014933771967792,1,0,0,0,1,0,1,0,0,0,0,1
152,0,0,0.6921337019351597,1,0.028431521794286298,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
153,0,0,0.5036441316913798,1,0.002159131273151672,0,0.06538034225031021,0,0,1,1,0,0,0,0,1,0,0,1
154,0,0,0.3278158951094034,1,0.6731161516212514,0,0.03297198294519955,0,0,1,1,0,0,1,0,0,0,0,1
155,0,0,0.6355868308620256,1,0.04464657228396002,0,0.27675814503794766,1,0,0,1,0,0,0,1,0,1,0,0
156,1,1,0.19577783362653933,0,0.09096006495154006,0,0.034869365567194756,0,0,1,1,0,0,1,0,0,0,1,0
157,0,0,0.37170143252073384,1,0.9947988024559802,0,0.036297362421723954,0,0,1,1,0,0,1,0,0,0,0,1
158,0,0,0.3278158951094034,0,0.7993022783782413,0,0.03905911825815946,0,0,1,1,0,0,1,0,0,0,0,1
159,0,0,0.3278158951094034,1,0.005944588217384686,1,0.044800027620779066,0,0,1,0,0,1,0,0,1,0,0,1
160,0,0,0.5476250314149284,0,0.9422083523621049,0,0.07259472484344791,0,0,1,1,0,0,0,1,0,0,0,1
161,1,1,0.49736114601658704,1,0.08523621048358453,0,0.07101657865119902,0,1,0,1,0,0,1,0,0,0,0,1
162,0,0,0.32143754712239253,0,0.8805703557111687,0,0.035057390413528414,0,0,1,1,0,0,1,0,0,0,0,1
163,0,0,0.20834380497612465,0,0.7994443598721267,0,0.03905911825815946,0,0,1,1,0,0,1,0,0,0,0,1
164,0,0,0.007288263382759488,0,0.7535117473227452,1,0.029825084288036628,0,0,1,0,0,1,0,1,0,0,0,1
165,1,0,0.10781603417944208,0,0.9217308570558685,1,0.030849000567531426,0,0,1,1,0,0,0,0,1,0,0,1
166,1,1,0.42965273568588025,0,0.28798142791901354,0,0.12399720081955386,1,0,0,1,0,0,0,1,0,0,0,1
167,0,1,0.5601910027645137,0,0.880621099101842,1,0.020966799411306376,0,0,1,0,1,0,0,0,1,0,0,1
168,0,0,0.5134630075221647,1,0.04393870198406658,0,0.11689554295443395,1,0,0,1,0,0,1,0,0,0,0,1
169,0,0,0.34656948982156316,0,0.0040620084234028525,0,0.03639127822369533,0,0,1,1,0,0,1,0,0,0,0,1
170,0,0,0.7612465443578789,0,0.282234738925255,0,0.15105113554382016,1,0,0,1,0,0,1,0,0,0,0,1
171,0,0,0.04498617743151546,0,0.9708529963972193,1,0.026264861628141862,0,0,1,0,0,1,0,1,0,0,1,0
172,1,1,0.007288263382759488,0,0.8822804079768611,1,0.016733309525870776,0,0,1,0,1,0,0,1,0,0,0,1
173,0,0,0.2586076903744659,1,0.7535117473227452,0,0.03573373878163506,0,0,1,1,0,0,1,0,0,0,0,1
174,0,0,0.6984166876099522,0,0.04507027959608261,0,0.13840702825152223,1,0,0,1,0,0,1,0,0,1,0,0
175,0,0,0.22090977632571,0,0.889034353275486,0,0.03541450235188872,0,0,1,0,1,0,0,1,0,0,0,1
